ID,genders,pattern,SNR,path1,path2,sentence1,sentence2,duration,overlap_ratio,start1,end1,start2,end2
80,М-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18977348.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18892818.mp3,Желает ли кто-либо еще из делегаций взять слово?,"Я также хотел бы поблагодарить коллег, которые своими замечаниями и советами оказывали помощь мне.",3.864,1.0,0.0,3.864,1.932,8.388
81,М-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18864458.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18940351.mp3,Задача первостепенной значимости — уничтожение наркопосевов и инфраструктуры по производству наркотиков.,Европейский союз намерен содействовать достижению этой цели на основе использования всестороннего подхода.,7.368,1.0,0.0,7.368,3.684,11.34
82,М-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21586598.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_23395050.mp3,Эти институты незаменимы для укрепления национальной ответственности и обеспечат более твердое государственное управление.,Это что?..,8.088,0.6587537091988132,0.0,8.088,0.0,2.664
83,М-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19157735.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21337914.mp3,"Япония поддерживает цель полной ликвидации ядерного оружия, которая является главной темой данного проекта резолюции.","Однако впереди нас ждут испытания, не только в Ливии, но и во всем регионе.",6.936,1.0,0.0,6.936,0.0,5.976
84,М-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19121108.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21572373.mp3,"Во-первых, в проекте резолюции не отражены четыре основных вопроса.","Я виноват, нет слов сказать, как я виноват!",5.208,1.0,0.0,5.208,0.0,4.416
85,Ж-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18921590.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20389676.mp3,"Пакистан привержен миру, стабильности и развитию в Афганистане.","Таким образом, на деле предлагаемые мандаты этих двух рабочих групп кардинально различаются.",4.056,1.0,0.0,4.056,2.028,8.532
86,Ж-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26035483.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18912924.mp3,Мы должны создавать наши институты в атмосфере прозрачности.,Массовое возвращение граждан других государств стало тяжелым социально-экономическим бременем для стран региона.,5.04,1.0,0.0,5.04,2.52,12.144
87,Ж-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24001604.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18920024.mp3,"«Одеяло ситцевое, другое тафтяное на хлопчатой бумаге – четыре рубля.",Он не первый раз избирается на одну из руководящих должностей в Организации Объединенных Наций.,7.596,1.0,0.0,7.596,3.798,10.422
88,Ж-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26085686.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_28931474.mp3,Их не волнуют права человека или демократия.,Прошу как следует вслушаться в мои слова.,3.708,1.0,0.0,3.708,0.0,4.536
89,Ж-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18912511.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_27014924.mp3,Я твоя сестра… Я старше.,"Мир преобразуется постоянно, и преобразования всегда привносятся новым поколением.",4.176,1.0,0.0,4.176,0.0,6.696
90,Ж-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21935368.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18892767.mp3,Ведь другой альтернативы просто нет.,"А если не царь, не злой и не из средней, тогда кто?",4.224,1.0,0.0,4.224,0.0,4.584
